mean,stdev,skew,kurtosis,zcr_mean,zcr_stdev,rmse_mean,rmse_stdev,mfccs_1_mean,mfccs_2_mean,mfccs_3_mean,mfccs_4_mean,mfccs_5_mean,mfccs_6_mean,mfccs_7_mean,mfccs_8_mean,mfccs_9_mean,mfccs_10_mean,mfccs_11_mean,mfccs_12_mean,mfccs_13_mean,mfccs_14_mean,mfccs_15_mean,mfccs_16_mean,mfccs_17_mean,mfccs_18_mean,mfccs_19_mean,mfccs_20_mean,mfccs_1_stdev,mfccs_2_stdev,mfccs_3_stdev,mfccs_4_stdev,mfccs_5_stdev,mfccs_6_stdev,mfccs_7_stdev,mfccs_8_stdev,mfccs_9_stdev,mfccs_10_stdev,mfccs_11_stdev,mfccs_12_stdev,mfccs_13_stdev,mfccs_14_stdev,mfccs_15_stdev,mfccs_16_stdev,mfccs_17_stdev,mfccs_18_stdev,mfccs_19_stdev,mfccs_20_stdev,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_1_stdev,chroma_2_stdev,chroma_3_stdev,chroma_4_stdev,chroma_5_stdev,chroma_6_stdev,chroma_7_stdev,chroma_8_stdev,chroma_9_stdev,chroma_10_stdev,chroma_11_stdev,chroma_12_stdev,centroid_mean,centroid_stdev,contrast_1_mean,contrast_2_mean,contrast_3_mean,contrast_4_mean,contrast_5_mean,contrast_6_mean,contrast_7_mean,contrast_1_std,contrast_2_std,contrast_3_std,contrast_4_std,contrast_5_std,contrast_6_std,contrast_7_std,rolloff_mean,rolloff_stdev,phoneme
0.013389234,0.045919925,5.325194358825684,34.3007337182008,0.020157556041033434,0.02519957574498541,0.019908685,0.019908685,-563.7338,64.95736,13.131765,-10.632876,-12.738666,-8.373004,-2.072413,2.0817864,-0.33417,-6.176267,-6.490771,-0.061024822,0.6973202,-5.977087,-7.693033,-3.6443462,-3.289874,-5.499626,-5.136947,-3.4246871,109.71513,94.78416,29.261307,26.389061,23.773901,13.915011,12.317183,9.807219,7.123687,11.682787,11.353708,3.7420132,5.0697284,9.555825,11.000974,7.7012663,4.697194,7.7331805,7.7300396,4.580743,0.47992438,0.45106798,0.5095027,0.5100476,0.62573105,0.7235069,0.65360165,0.622573,0.57061356,0.5371995,0.55588925,0.59917027,0.29787478,0.33811378,0.33235395,0.2942418,0.29581317,0.26835513,0.25901014,0.2974613,0.28716996,0.31977305,0.3074771,0.3063139,552.8736769409028,535.1335443562833,17.881672095691364,11.664729138228637,13.24892979477607,14.944918466423461,15.943390717620655,16.5670730592157,14.734917391328677,9.327331245928589,6.024343342394301,5.9317058124444015,5.210774736222656,6.0189107806902715,6.195606785917047,2.8130112331056005,608.0193536931819,1168.5785014002183,t
0.015473113,0.061598774,6.405576229095459,48.95147812468812,0.018855574324324324,0.01805344561100881,0.023582285,0.023582285,-541.9285,57.81312,1.6541843,-11.634043,-4.88782,-6.4607844,-3.8963122,2.4251065,-1.3275061,-6.8815775,-3.7106383,0.0917224,-2.068523,-5.2475204,-5.6956344,-4.732374,-3.789618,-3.8398895,-4.5454082,-3.732373,113.7616,92.437325,29.111052,25.947725,16.045702,15.431945,13.350157,8.390385,7.8242264,12.988057,7.948109,5.6677837,6.8052983,8.178155,9.600535,8.161292,6.013019,5.955849,7.1583486,5.247872,0.51832885,0.5048179,0.5187868,0.5401088,0.5615453,0.63511837,0.6323173,0.6056331,0.53643006,0.5705724,0.6912586,0.6607063,0.28917527,0.3404315,0.33698285,0.2697745,0.28737795,0.3077655,0.23733,0.25917912,0.28879726,0.29542878,0.30710045,0.28536484,507.9147478949252,383.9458634310127,18.29245297271472,10.978631761993485,13.536510004251067,14.494270764443378,15.295593719899749,16.891002991242463,14.449828581399498,8.607308842983928,4.892957099473704,5.3465120809693545,4.719773262687548,4.878125948470986,7.2709708822694825,1.985177797022818,504.5753272804054,909.6853208598463,t
0.018724887,0.06517381,5.273247718811035,33.70244338961345,0.02148150275735294,0.02162498098609446,0.027885009,0.027885009,-534.08844,63.872704,1.2877556,-14.912751,-7.460327,-8.974404,-6.4595976,2.581261,-0.041465737,-7.75704,-4.618709,1.1432654,-1.3702093,-6.15319,-6.5354047,-4.17588,-2.8722386,-4.14089,-4.9984765,-2.4756103,116.78135,96.540115,27.543816,27.574894,16.730532,15.497378,15.381587,9.515487,6.1906404,13.652245,9.345039,4.487855,7.079952,9.323584,9.917905,6.811657,4.5148253,6.157392,7.959616,5.1497655,0.5532579,0.4694906,0.46674302,0.5098586,0.57130027,0.5995853,0.56282496,0.6669574,0.5920905,0.5329053,0.651229,0.63606215,0.29290083,0.31701982,0.34342015,0.3114604,0.3129751,0.33287168,0.24946634,0.25362828,0.26581353,0.29753926,0.34454006,0.28639513,533.645254789539,381.1832315477635,17.62559189071233,10.907221272904614,13.926838970266688,15.625453513556876,16.022601448657372,17.657185751689553,14.874895306498475,9.063945526007979,5.64203606952594,5.932335938932218,6.074265115539056,5.531159816336905,8.02969500884454,2.453351451187322,538.7100758272059,859.3862806503663,t
0.01256416,0.045983374,5.930075168609619,43.03023895385076,0.018535592702513967,0.017762113640025248,0.018469945,0.018469945,-554.41595,58.493748,8.756359,-10.272812,-9.685143,-9.479484,-3.4700422,3.7250752,-1.0060223,-7.8297358,-4.171561,0.978026,-1.3265625,-5.5935616,-6.4165463,-4.9148154,-3.7317162,-4.2605495,-4.6971645,-3.1659985,102.906044,90.75411,29.169643,21.726719,21.444067,17.22391,13.770518,10.322974,6.89781,15.097972,8.992778,5.703882,5.201071,9.008388,9.753599,7.472569,5.225635,5.8777165,7.167081,4.666104,0.4959691,0.45907545,0.4845663,0.50120205,0.5736167,0.665041,0.6419498,0.6029561,0.54649955,0.5305498,0.66385835,0.6587,0.2844172,0.3331221,0.33073536,0.28579524,0.29791382,0.28812864,0.25565964,0.26637188,0.2917175,0.29965863,0.31833312,0.285868,489.0962760641845,341.6328125374125,18.723863449960238,11.23421122714375,13.710991961384243,15.364738043290279,16.285190333449062,16.473818344459634,14.705255696437401,9.307082972130033,5.241380377030766,5.419030768376225,5.328213298059525,6.123387544954584,7.380514016274048,2.381660336106358,473.97106319832403,813.881269652665,t
0.014634417,0.05325421,5.681555271148682,38.5904462382048,0.018429207402234637,0.020520284584733636,0.021485915,0.021485915,-549.4334,58.328934,8.730766,-10.012291,-9.572525,-10.020872,-4.737058,3.000624,-0.41230267,-7.75322,-5.542192,0.19657522,-0.7778876,-5.1830497,-6.2833557,-4.5907183,-3.7071786,-4.330955,-4.497725,-3.2217405,103.27014,91.263695,31.505198,24.294695,21.576036,17.042734,13.544659,9.772818,5.456866,14.725585,10.035422,4.9691534,5.0949607,8.662943,9.515852,7.6571455,5.7703204,6.376915,7.6481404,4.9946876,0.5251714,0.45815802,0.47761944,0.47677386,0.56604576,0.6605182,0.6190493,0.60841495,0.5301258,0.5503587,0.6335858,0.6129169,0.28593415,0.32505524,0.32731977,0.28792354,0.30446407,0.30970865,0.26911524,0.292541,0.26224265,0.3040729,0.34196004,0.28390655,494.23836146945104,343.7936851350788,18.504828437604218,11.147912756717826,13.526576638943087,15.069104691608265,15.632749756004927,16.95973651608053,14.659894584348883,9.191821891980146,5.303859949827372,5.4783553315960045,4.788913645602318,5.284487700470473,7.353923078797796,2.4240659907859574,466.8735269727654,801.5063259725973,t
0.01813047,0.066222064,5.460078239440918,34.79453252991553,0.019493689903846152,0.022777310682543614,0.02732005,0.02732005,-543.01483,61.430004,5.9078245,-14.365827,-10.507456,-7.536012,-3.2534025,2.8696437,0.011898109,-7.0935984,-4.9970617,0.98387194,-0.87441653,-6.181921,-6.55738,-3.856885,-3.185172,-4.5186133,-4.495018,-2.7592218,109.83366,95.1192,28.746998,29.254961,21.040094,12.38144,12.424117,8.430606,5.8730927,12.818448,9.136722,4.1366553,5.0364122,9.720166,10.2217655,6.1179724,4.8905525,6.6255894,6.762999,4.7756805,0.5860298,0.50730956,0.55084115,0.54732144,0.60861784,0.68379205,0.63204896,0.65113425,0.61744666,0.5642896,0.5855944,0.70273226,0.3024848,0.33990464,0.32379103,0.28371173,0.29531616,0.27162176,0.24745817,0.29881173,0.27926067,0.31476334,0.30570206,0.2965376,519.6643702359861,390.82746617333623,18.05972716629183,11.64731630773644,13.949262835494373,14.871745129173695,15.951717148156442,17.022806731543696,14.864848426433426,9.059872857925784,6.257603426036021,6.123687189450661,5.255278868969674,5.98210073233106,7.031139435618122,2.6432471225617826,528.6465074889053,979.5612992592204,t
0.011721734,0.044341885,6.150485992431641,46.21140290348704,0.018995141657175398,0.021520780565464394,0.017158518,0.017158518,-558.8089,54.317596,-2.9757488,-9.014962,-5.229366,-9.1194105,-3.6135993,3.6855175,-1.3253404,-7.5510936,-3.7158332,-0.111631855,-2.4281461,-5.106504,-6.1497326,-3.843021,-2.9573467,-5.4903913,-4.429871,-2.6875064,118.29533,88.29716,24.302856,20.916319,12.729481,18.012964,10.510454,10.595004,8.005634,14.133069,7.455269,4.5651093,6.280826,8.371334,10.186701,6.2934966,4.850257,8.727216,6.2178535,4.201555,0.5350851,0.51341325,0.5286105,0.5546732,0.6302458,0.68076026,0.6422137,0.67063004,0.60471857,0.5453994,0.63133276,0.6475779,0.27509326,0.32006124,0.30485436,0.28102416,0.27270898,0.28403628,0.2479827,0.2716317,0.265843,0.3040804,0.30539718,0.26312143,547.7667391804317,512.2115146919488,19.251290967986627,10.91869583602721,12.896971196281342,14.418051785238426,15.022829452868901,18.290115084249386,15.359099710127895,9.053739535826882,4.918305603976578,5.260262634490997,4.861658101585608,4.687668351670969,8.137798562341361,4.82859257083773,554.2842240767045,1093.1634061898683,t
0.012327653,0.045013815,5.576453685760498,36.0620550194722,0.01878604941460055,0.018246761954236936,0.017817752,0.017817752,-570.47943,62.898613,7.677702,-12.148339,-9.142267,-8.463866,-3.4852428,4.072288,-0.67545235,-9.282161,-5.97757,0.81247216,-1.0047202,-6.043122,-6.9229336,-4.966686,-3.7015676,-4.343339,-5.0151086,-3.6967974,109.13248,95.0425,29.815502,24.55753,20.394613,15.973508,15.783501,10.545664,6.136722,16.419016,10.466663,5.2820196,5.8476195,9.074846,10.414297,7.2091694,4.8618903,6.1276326,6.713132,5.396925,0.5085588,0.5235798,0.582431,0.5925366,0.65743446,0.7393675,0.6411515,0.60745597,0.5484573,0.55307627,0.6387101,0.5818387,0.3142836,0.31699774,0.3132589,0.30252087,0.26398474,0.22860435,0.25669354,0.3159814,0.2893879,0.28405583,0.2896929,0.27389297,501.69935592802887,360.97769672837364,18.202693807891755,10.622776811030477,12.533918090087852,13.932470792346301,16.511564372799086,17.5057521408191,14.700414484358292,8.754539096041219,5.251011007590745,5.081740265122993,4.981986895542987,6.414762927416259,7.928099122304926,2.360406310554917,493.25232872596155,863.3362577508573,t
0.015028563,0.05272051,5.196843147277832,32.36923758573234,0.02065586279154519,0.021380600244981635,0.02220278,0.02220278,-554.6319,59.237778,4.4390445,-12.237245,-8.0310545,-9.09751,-5.0395184,4.3127017,1.1530861,-8.684471,-6.5751343,1.7721071,0.8330031,-6.1141753,-7.5246625,-3.6981435,-2.287279,-4.617066,-5.4824367,-2.7028105,107.88916,92.70614,21.581938,24.771627,16.377075,15.596929,12.235605,9.943027,5.4205794,15.286535,11.404702,4.889246,6.7915034,9.663746,11.661698,5.710069,3.9609833,6.7799907,8.689804,4.323342,0.5747594,0.4860333,0.51756096,0.545512,0.60364527,0.65757054,0.6583544,0.68030035,0.62572074,0.54633707,0.52667195,0.6534042,0.30106306,0.33995858,0.35480967,0.3083455,0.29951853,0.31090447,0.24292727,0.27888146,0.2948578,0.3092033,0.30332476,0.29130077,524.7483073942194,393.5858627453795,17.36411662648104,11.615454909893053,13.475732962176862,15.170833900414198,16.40380705461111,17.500413519485736,14.73007893638138,8.443683891993405,5.951064696722529,5.950990231638198,5.615527837012869,6.437746235180978,7.821992245415808,2.48057482403548,517.0472610828489,958.8307750638012,t
0.013763041,0.04868488,5.539510726928711,36.545240075072265,0.01794845066713483,0.017265351286059712,0.019739106,0.019739106,-566.9215,62.861877,5.7222176,-12.837746,-8.887892,-8.116088,-3.7587173,2.786854,-1.2724583,-8.675726,-5.5243464,1.2108053,-0.61054033,-6.405846,-7.204068,-4.3979907,-3.3612013,-4.6800494,-5.3170586,-3.4525805,108.619385,93.582886,28.32207,24.120745,19.285381,15.518371,13.343195,10.889429,6.3018494,14.538003,9.211465,4.950965,7.5206695,9.4490795,11.59109,7.139785,6.132856,6.4975667,8.127209,4.9037952,0.5506557,0.5299438,0.5770651,0.5947114,0.65107274,0.6812483,0.63614434,0.60581917,0.58888936,0.53296614,0.548108,0.6845602,0.25827515,0.34689307,0.3466259,0.27735046,0.30540767,0.29811037,0.25713804,0.26223606,0.28096208,0.31082416,0.2914882,0.2756905,506.96313285121903,367.4345735464157,18.41200964815982,11.731189668709177,13.589365637610882,14.81758184584911,16.263114609174384,17.695277239019166,14.719803264449807,9.250361967296167,5.991790739439973,5.828642496351857,5.634396838549052,6.0694007352798645,7.836254320503076,2.4249964962383137,515.9500636411517,861.1658919958381,t
